scale,porosity,v_added_sim,v_added_meas,file_index
0.73,0.79,6.050276744866712e-06,6e-06,1
0.73,0.8,5.977432206767635e-06,6e-06,1
0.74,0.79,5.993619881900761e-06,6e-06,1
0.75,0.78,6.004411665322847e-06,6e-06,1
0.76,0.77,6.00980755703389e-06,6e-06,1
0.76,0.78,5.945056856501378e-06,6e-06,1
0.77,0.77,5.9477548023568975e-06,6e-06,1
0.77,0.76,6.00980755703389e-06,6e-06,1
0.78,0.75,6.004411665322847e-06,6e-06,1
0.78,0.76,5.945056856501378e-06,6e-06,1
0.79,0.73,6.050276744866712e-06,6e-06,1
0.79,0.74,5.993619881900762e-06,6e-06,1
0.8,0.72,6.031391123878061e-06,6e-06,1
0.8,0.73,5.977432206767632e-06,6e-06,1
0.81,0.7000000000000001,6.058370582433275e-06,6e-06,1
0.81,0.72,5.955848639923463e-06,6e-06,1
0.81,0.7100000000000001,6.007109611178368e-06,6e-06,1
0.8200000000000001,0.6900000000000001,6.025995232167016e-06,6e-06,1
0.8200000000000001,0.7000000000000001,5.977432206767632e-06,6e-06,1
0.8300000000000001,0.6900000000000001,5.942358910645855e-06,6e-06,1
0.8300000000000001,0.68,5.988223990189719e-06,6e-06,1
0.8300000000000001,0.67,6.034089069733583e-06,6e-06,1
0.8400000000000001,0.65,6.031391123878061e-06,6e-06,1
0.8400000000000001,0.66,5.988223990189719e-06,6e-06,1
0.8400000000000001,0.67,5.945056856501376e-06,6e-06,1
0.85,0.62,6.0583705824332765e-06,6e-06,1
0.85,0.63,6.017901394600456e-06,6e-06,1
0.85,0.64,5.977432206767635e-06,6e-06,1
0.86,0.6,6.031391123878063e-06,6e-06,1
0.86,0.62,5.955848639923464e-06,6e-06,1
0.86,0.61,5.993619881900762e-06,6e-06,1
0.87,0.5800000000000001,5.9936198819007595e-06,6e-06,1
0.87,0.5700000000000001,6.028693178022537e-06,6e-06,1
0.87,0.59,5.958546585778983e-06,6e-06,1
0.88,0.54,6.00980755703389e-06,6e-06,1
0.88,0.56,5.945056856501378e-06,6e-06,1
0.88,0.55,5.977432206767634e-06,6e-06,1
0.88,0.53,6.042182907300147e-06,6e-06,1
0.89,0.5,6.004411665322847e-06,6e-06,1
0.89,0.49,6.034089069733583e-06,6e-06,1
0.89,0.51,5.974734260912111e-06,6e-06,1
0.89,0.52,5.945056856501376e-06,6e-06,1
0.9,0.45,6.004411665322847e-06,6e-06,1
0.9,0.47,5.950452748212419e-06,6e-06,1
0.9,0.46,5.977432206767632e-06,6e-06,1
0.9,0.43,6.058370582433275e-06,6e-06,1
0.9,0.44,6.031391123878061e-06,6e-06,1
0.91,0.4,5.977432206767635e-06,6e-06,1
0.91,0.37,6.050276744866712e-06,6e-06,1
0.91,0.41,5.953150694067943e-06,6e-06,1
0.91,0.38,6.02599523216702e-06,6e-06,1
0.91,0.39,6.0017137194673275e-06,6e-06,1
0.92,0.29000000000000004,6.052974690722229e-06,6e-06,1
0.92,0.32,5.9882239901897164e-06,6e-06,1
0.92,0.31,6.009807557033887e-06,6e-06,1
0.92,0.34,5.945056856501374e-06,6e-06,1
0.92,0.3,6.0313911238780586e-06,6e-06,1
0.92,0.33,5.966640423345545e-06,6e-06,1
0.93,0.19,6.050276744866708e-06,6e-06,1
0.93,0.23,5.974734260912109e-06,6e-06,1
