#EXPORTTYPE:                 ,DATA COMPARE                 
#FILE:                       ,sample1.ngb-ds3              
#FORMAT:                     ,NETZSCH5                     
#FTYPE:                      ,ANSI                         
#IDENTITY:                   ,putty                        
#DECIMAL:                    ,POINT                        
#SEPARATOR:                  ,COMMA                        
#MTYPE:                      ,CP                           
#INSTRUMENT:                 ,NETZSCH STA 449F3            
#PROJECT:                    ,Gen3CSP                      
#DATE/TIME:                  ,12/13/2022 3:59:26 PM (UTC-5)
#CORR. FILE:                 ,baseline2.ngb-bs3            
#TEMPCAL:                    ,TCALZERO.TCX                 
#SENSITIVITY:                ,SENSZERO.EXX                 
#LABORATORY:                 ,STEEL                        
#OPERATOR:                   ,MJA                          
#REMARK:                     ,                             
#SAMPLE:                     ,sample1                      
#SAMPLE MASS /mg:            ,35.9                         
#MATERIAL:                   ,                             
#REFERENCE:                  ,                             
#REFERENCE MASS /mg:         ,0                            
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid       
#SAMPLE CRUCIBLE MASS /mg:   ,0                            
#REFERENCE CRUCIBLE MASS /mg:,0                            
#DSC RANGE /�V:              ,5000                         
#TG RANGE /mg:               ,35000                        
#TAU-R:                      ,---                          
#CORR. CODE:                 ,00                           
#EXO:                        ,-1                           
#RANGE:                      ,25�C/15.0(K/min)/1180�C      
#SEGMENT:                    ,S1/7                         
#SEG. 1:                     ,25�C/15.0(K/min)/1180�C      
,,
##Temp./C,Cp(1)/(J/(g*K))
  39.07200,      1.07424
  39.09181,      1.07418
  39.11161,      1.07412
  39.13142,      1.07408
  39.15122,      1.07407
  39.17103,      1.07410
  39.19083,      1.07417
  39.21063,      1.07428
  39.23044,      1.07441
  39.25024,      1.07458
  39.27005,      1.07477
  39.28985,      1.07498
  39.30966,      1.07519
  39.32946,      1.07539
  39.34927,      1.07556
  39.36907,      1.07569
  39.38887,      1.07576
  39.40868,      1.07577
  39.42848,      1.07572
  39.44829,      1.07563
  39.46809,      1.07551
  39.48790,      1.07538
  39.50770,      1.07525
  39.52751,      1.07513
  39.54731,      1.07503
  39.56711,      1.07497
  39.58692,      1.07492
  39.60672,      1.07491
  39.62653,      1.07493
  39.64633,      1.07498
  39.66614,      1.07506
  39.68594,      1.07517
  39.70574,      1.07529
  39.72555,      1.07541
  39.74535,      1.07553
  39.76516,      1.07562
  39.78496,      1.07568
  39.80477,      1.07570
  39.82457,      1.07572
  39.84438,      1.07576
  39.86418,      1.07583
  39.88398,      1.07596
  39.90379,      1.07617
  39.92359,      1.07649
  39.94340,      1.07692
  39.96320,      1.07740
  39.98301,      1.07789
  40.00281,      1.07833
  40.02262,      1.07865
  40.04242,      1.07883
  40.06222,      1.07888
  40.08203,      1.07884
  40.10183,      1.07872
  40.12164,      1.07855
  40.14144,      1.07836
  40.16125,      1.07818
  40.18105,      1.07802
  40.20085,      1.07792
  40.22066,      1.07787
  40.24046,      1.07785
  40.26027,      1.07788
  40.28007,      1.07794
  40.29988,      1.07803
  40.31968,      1.07814
  40.33949,      1.07827
  40.35929,      1.07840
  40.37909,      1.07853
  40.39890,      1.07865
  40.41870,      1.07874
  40.43851,      1.07881
  40.45831,      1.07885
  40.47812,      1.07887
  40.49792,      1.07888
  40.51773,      1.07889
  40.53753,      1.07891
  40.55733,      1.07894
  40.57714,      1.07901
  40.59694,      1.07911
  40.61675,      1.07923
  40.63655,      1.07937
  40.65636,      1.07952
  40.67616,      1.07967
  40.69596,      1.07980
  40.71577,      1.07991
  40.73557,      1.07999
  40.75538,      1.08006
  40.77518,      1.08012
  40.79499,      1.08017
  40.81479,      1.08023
  40.83460,      1.08029
  40.85440,      1.08036
  40.87420,      1.08042
  40.89401,      1.08048
  40.91381,      1.08052
  40.93362,      1.08055
  40.95342,      1.08056
  40.97323,      1.08054
  40.99303,      1.08050
  41.01284,      1.08047
  41.03264,      1.08046
  41.05244,      1.08047
  41.07225,      1.08053
  41.09205,      1.08066
  41.11186,      1.08087
  41.13166,      1.08115
  41.15147,      1.08148
  41.17127,      1.08183
  41.19107,      1.08217
  41.21088,      1.08247
  41.23068,      1.08271
  41.25049,      1.08286
  41.27029,      1.08293
  41.29010,      1.08295
  41.30990,      1.08292
  41.32971,      1.08287
  41.34951,      1.08282
  41.36931,      1.08278
  41.38912,      1.08275
  41.40892,      1.08273
  41.42873,      1.08272
  41.44853,      1.08272
  41.46834,      1.08271
  41.48814,      1.08270
  41.50795,      1.08269
  41.52775,      1.08267
  41.54755,      1.08265
  41.56736,      1.08262
  41.58716,      1.08259
  41.60697,      1.08256
  41.62677,      1.08252
  41.64658,      1.08249
  41.66638,      1.08246
  41.68618,      1.08244
  41.70599,      1.08243
  41.72579,      1.08246
  41.74560,      1.08251
  41.76540,      1.08260
  41.78521,      1.08272
  41.80501,      1.08286
  41.82482,      1.08300
  41.84462,      1.08314
  41.86442,      1.08325
  41.88423,      1.08332
  41.90403,      1.08334
  41.92384,      1.08332
  41.94364,      1.08328
  41.96345,      1.08322
  41.98325,      1.08316
  42.00306,      1.08312
  42.02286,      1.08311
  42.04266,      1.08315
  42.06247,      1.08323
  42.08227,      1.08336
  42.10208,      1.08351
  42.12188,      1.08369
  42.14169,      1.08387
  42.16149,      1.08404
  42.18129,      1.08420
  42.20110,      1.08435
  42.22090,      1.08449
  42.24071,      1.08464
  42.26051,      1.08479
  42.28032,      1.08494
  42.30012,      1.08512
  42.31993,      1.08530
  42.33973,      1.08550
  42.35953,      1.08571
  42.37934,      1.08593
  42.39914,      1.08616
  42.41895,      1.08640
  42.43875,      1.08663
  42.45856,      1.08686
  42.47836,      1.08705
  42.49817,      1.08719
  42.51797,      1.08725
  42.53777,      1.08723
  42.55758,      1.08709
  42.57738,      1.08684
  42.59719,      1.08653
  42.61699,      1.08619
  42.63680,      1.08586
  42.65660,      1.08558
  42.67640,      1.08538
  42.69621,      1.08531
  42.71601,      1.08538
  42.73582,      1.08559
  42.75562,      1.08589
  42.77543,      1.08624
  42.79523,      1.08661
  42.81504,      1.08695
  42.83484,      1.08725
  42.85464,      1.08746
  42.87445,      1.08761
  42.89425,      1.08770
  42.91406,      1.08776
  42.93386,      1.08780
  42.95367,      1.08784
  42.97347,      1.08788
  42.99328,      1.08794
  43.01308,      1.08802
  43.03288,      1.08810
  43.05269,      1.08820
  43.07249,      1.08831
  43.09230,      1.08842
  43.11210,      1.08853
  43.13191,      1.08864
  43.15171,      1.08875
  43.17151,      1.08885
  43.19132,      1.08893
  43.21112,      1.08900
  43.23093,      1.08905
  43.25073,      1.08907
  43.27054,      1.08908
  43.29034,      1.08908
  43.31015,      1.08906
  43.32995,      1.08904
  43.34975,      1.08900
  43.36956,      1.08896
  43.38936,      1.08892
  43.40917,      1.08889
  43.42897,      1.08887
  43.44878,      1.08889
  43.46858,      1.08894
  43.48839,      1.08904
  43.50819,      1.08919
  43.52799,      1.08938
  43.54780,      1.08959
  43.56760,      1.08980
  43.58741,      1.08998
  43.60721,      1.09011
  43.62702,      1.09017
  43.64682,      1.09018
  43.66662,      1.09014
  43.68643,      1.09009
  43.70623,      1.09004
  43.72604,      1.09001
  43.74584,      1.09003
  43.76565,      1.09010
  43.78545,      1.09023
  43.80526,      1.09041
  43.82506,      1.09061
  43.84486,      1.09081
  43.86467,      1.09097
  43.88447,      1.09109
  43.90428,      1.09113
  43.92408,      1.09112
  43.94389,      1.09106
  43.96369,      1.09098
  43.98350,      1.09088
  44.00330,      1.09079
  44.02310,      1.09072
  44.04291,      1.09067
  44.06271,      1.09065
  44.08252,      1.09067
  44.10232,      1.09071
  44.12213,      1.09078
  44.14193,      1.09089
  44.16173,      1.09102
  44.18154,      1.09118
  44.20134,      1.09136
  44.22115,      1.09155
  44.24095,      1.09172
  44.26076,      1.09188
  44.28056,      1.09200
  44.30037,      1.09207
  44.32017,      1.09211
  44.33997,      1.09213
  44.35978,      1.09214
  44.37958,      1.09215
  44.39939,      1.09218
  44.41919,      1.09223
  44.43900,      1.09232
  44.45880,      1.09245
  44.47861,      1.09261
  44.49841,      1.09278
  44.51821,      1.09294
  44.53802,      1.09307
  44.55782,      1.09315
  44.57763,      1.09317
  44.59743,      1.09311
  44.61724,      1.09301
  44.63704,      1.09288
  44.65684,      1.09274
  44.67665,      1.09263
  44.69645,      1.09257
  44.71626,      1.09257
  44.73606,      1.09262
  44.75587,      1.09272
  44.77567,      1.09284
  44.79548,      1.09298
  44.81528,      1.09311
  44.83508,      1.09323
  44.85489,      1.09333
  44.87469,      1.09342
  44.89450,      1.09351
  44.91430,      1.09361
  44.93411,      1.09372
  44.95391,      1.09386
  44.97372,      1.09404
  44.99352,      1.09426
  45.01332,      1.09450
  45.03313,      1.09475
  45.05293,      1.09498
  45.07274,      1.09516
  45.09254,      1.09528
  45.11235,      1.09531
  45.13215,      1.09526
  45.15195,      1.09516
  45.17176,      1.09503
  45.19156,      1.09492
  45.21137,      1.09484
  45.23117,      1.09482
  45.25098,      1.09491
  45.27078,      1.09507
  45.29059,      1.09529
  45.31039,      1.09553
  45.33019,      1.09575
  45.35000,      1.09593
  45.36980,      1.09603
  45.38961,      1.09604
  45.40941,      1.09596
  45.42922,      1.09585
  45.44902,      1.09571
  45.46883,      1.09560
  45.48863,      1.09553
  45.50843,      1.09554
  45.52824,      1.09564
  45.54804,      1.09579
  45.56785,      1.09600
  45.58765,      1.09623
  45.60746,      1.09647
  45.62726,      1.09671
  45.64706,      1.09694
  45.66687,      1.09715
  45.68667,      1.09734
  45.70648,      1.09751
  45.72628,      1.09767
  45.74609,      1.09780
  45.76589,      1.09792
  45.78570,      1.09801
  45.80550,      1.09809
  45.82530,      1.09814
  45.84511,      1.09818
  45.86491,      1.09820
  45.88472,      1.09820
  45.90452,      1.09818
  45.92433,      1.09815
  45.94413,      1.09811
  45.96394,      1.09806
  45.98374,      1.09802
  46.00354,      1.09800
  46.02335,      1.09799
  46.04315,      1.09802
  46.06296,      1.09807
  46.08276,      1.09816
  46.10257,      1.09827
  46.12237,      1.09840
  46.14217,      1.09854
  46.16198,      1.09868
  46.18178,      1.09882
  46.20159,      1.09896
  46.22139,      1.09908
  46.24120,      1.09919
  46.26100,      1.09928
  46.28081,      1.09934
  46.30061,      1.09939
  46.32041,      1.09940
  46.34022,      1.09938
  46.36002,      1.09935
  46.37983,      1.09932
  46.39963,      1.09930
  46.41944,      1.09930
  46.43924,      1.09934
  46.45905,      1.09942
  46.47885,      1.09956
  46.49865,      1.09972
  46.51846,      1.09989
  46.53826,      1.10006
  46.55807,      1.10021
  46.57787,      1.10032
  46.59768,      1.10039
  46.61748,      1.10041
  46.63728,      1.10040
  46.65709,      1.10036
  46.67689,      1.10033
  46.69670,      1.10030
  46.71650,      1.10029
  46.73631,      1.10030
  46.75611,      1.10034
  46.77592,      1.10041
  46.79572,      1.10048
  46.81552,      1.10057
  46.83533,      1.10066
  46.85513,      1.10076
  46.87494,      1.10086
  46.89474,      1.10096
  46.91455,      1.10107
  46.93435,      1.10120
  46.95416,      1.10134
  46.97396,      1.10150
  46.99376,      1.10169
  47.01357,      1.10189
  47.03337,      1.10210
  47.05318,      1.10229
  47.07298,      1.10247
  47.09279,      1.10260
  47.11259,      1.10268
  47.13239,      1.10269
  47.15220,      1.10265
  47.17200,      1.10256
  47.19181,      1.10244
  47.21161,      1.10231
  47.23142,      1.10218
  47.25122,      1.10205
  47.27103,      1.10196
  47.29083,      1.10189
  47.31063,      1.10185
