#EXPORTTYPE:                 ,DATA COMPARE                 ,
#FILE:                       ,sample1.ngb-ds3              ,
#FORMAT:                     ,NETZSCH5                     ,
#FTYPE:                      ,ANSI                         ,
#IDENTITY:                   ,graphite                     ,
#DECIMAL:                    ,POINT                        ,
#SEPARATOR:                  ,COMMA                        ,
#MTYPE:                      ,CP                           ,
#INSTRUMENT:                 ,NETZSCH STA 449F3            ,
#PROJECT:                    ,Gen3CSP                      ,
#DATE/TIME:                  ,12/9/2022 11:00:47 AM (UTC-5),
#CORR. FILE:                 ,baseline2.ngb-bs3            ,
#TEMPCAL:                    ,TCALZERO.TCX                 ,
#SENSITIVITY:                ,SENSZERO.EXX                 ,
#LABORATORY:                 ,STEEL                        ,
#OPERATOR:                   ,MJA                          ,
#REMARK:                     ,                             ,
#SAMPLE:                     ,sample1                      ,
#SAMPLE MASS /mg:            ,51,
#MATERIAL:                   ,                             ,
#REFERENCE:                  ,                             ,
#REFERENCE MASS /mg:         ,0,
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid       
#SAMPLE CRUCIBLE MASS /mg:   ,0,
#REFERENCE CRUCIBLE MASS /mg:,0,
#DSC RANGE /�V:              ,5000,
#TG RANGE /mg:               ,35000,
#TAU-R:                      ,---                          ,
#CORR. CODE:                 ,0,
#EXO:                        ,-1,
#RANGE:                      ,100�C/15.0(K/min)/1180�C     ,
#SEGMENT:                    ,S5/7                         ,
#SEG. 5:                     ,100�C/15.0(K/min)/1180�C     ,
,,
##Temp./C,Cp(5)/(J/(g*K)),
151.72845,-2.02317,
151.74825,-2.02425,
151.76806,-2.02526,
151.78786,-2.02623,
151.80766,-2.02716,
151.82747,-2.02806,
151.84727,-2.02895,
151.86708,-2.02983,
151.88688,-2.03071,
151.90669,-2.03161,
151.92649,-2.03253,
151.9463,-2.03346,
151.9661,-2.0344,
151.9859,-2.03534,
152.00571,-2.03629,
152.02551,-2.03725,
152.04532,-2.0382,
152.06512,-2.03916,
152.08493,-2.04011,
152.10473,-2.04106,
152.12454,-2.042,
152.14434,-2.04295,
152.16414,-2.04389,
152.18395,-2.04484,
152.20375,-2.04579,
152.22356,-2.04674,
152.24336,-2.04769,
152.26317,-2.04865,
152.28297,-2.04961,
152.30277,-2.05058,
152.32258,-2.05154,
152.34238,-2.05251,
152.36219,-2.05347,
152.38199,-2.05443,
152.4018,-2.05538,
152.4216,-2.05633,
152.44141,-2.05728,
152.46121,-2.05822,
152.48101,-2.05916,
152.50082,-2.0601,
152.52062,-2.06104,
152.54043,-2.06197,
152.56023,-2.06292,
152.58004,-2.06386,
152.59984,-2.06481,
152.61965,-2.06577,
152.63945,-2.06673,
152.65925,-2.06768,
152.67906,-2.06864,
152.69886,-2.06959,
152.71867,-2.07052,
152.73847,-2.07145,
152.75828,-2.07235,
152.77808,-2.07323,
152.79788,-2.07409,
152.81769,-2.07493,
152.83749,-2.07574,
152.8573,-2.07655,
152.8771,-2.07735,
152.89691,-2.07814,
152.91671,-2.07894,
152.93652,-2.07973,
152.95632,-2.08054,
152.97612,-2.08136,
152.99593,-2.08219,
153.01573,-2.08304,
153.03554,-2.0839,
153.05534,-2.08476,
153.07515,-2.08564,
153.09495,-2.08651,
153.11476,-2.08738,
153.13456,-2.08825,
153.15436,-2.08911,
153.17417,-2.08997,
153.19397,-2.09082,
153.21378,-2.09167,
153.23358,-2.09252,
153.25339,-2.09336,
153.27319,-2.0942,
153.29299,-2.09504,
153.3128,-2.09587,
153.3326,-2.09671,
153.35241,-2.09755,
153.37221,-2.09838,
153.39202,-2.09922,
153.41182,-2.10004,
153.43163,-2.10086,
153.45143,-2.10167,
153.47123,-2.10247,
153.49104,-2.10326,
153.51084,-2.10403,
153.53065,-2.10479,
153.55045,-2.10554,
153.57026,-2.10629,
153.59006,-2.10703,
153.60987,-2.10777,
153.62967,-2.10852,
153.64947,-2.10927,
153.66928,-2.11003,
153.68908,-2.1108,
153.70889,-2.11159,
153.72869,-2.11239,
153.7485,-2.11321,
153.7683,-2.11404,
153.7881,-2.11488,
153.80791,-2.11574,
153.82771,-2.11662,
153.84752,-2.1175,
153.86732,-2.1184,
153.88713,-2.11931,
153.90693,-2.12023,
153.92674,-2.12116,
153.94654,-2.12209,
153.96634,-2.12302,
153.98615,-2.12394,
154.00595,-2.12486,
154.02576,-2.12577,
154.04556,-2.12667,
154.06537,-2.12755,
154.08517,-2.12842,
154.10498,-2.12926,
154.12478,-2.13009,
154.14458,-2.13089,
154.16439,-2.13167,
154.18419,-2.13242,
154.204,-2.13315,
154.2238,-2.13384,
154.24361,-2.13451,
154.26341,-2.13515,
154.28321,-2.13578,
154.30302,-2.13642,
154.32282,-2.13706,
154.34263,-2.13772,
154.36243,-2.13842,
154.38224,-2.13916,
154.40204,-2.13995,
154.42185,-2.14079,
154.44165,-2.14168,
154.46145,-2.14259,
154.48126,-2.14351,
154.50106,-2.14443,
154.52087,-2.14533,
154.54067,-2.14618,
154.56048,-2.14699,
154.58028,-2.14773,
154.60009,-2.1484,
154.61989,-2.14901,
154.63969,-2.1496,
154.6595,-2.15017,
154.6793,-2.15075,
154.69911,-2.15137,
154.71891,-2.15203,
154.73872,-2.15278,
154.75852,-2.15362,
154.77832,-2.15457,
154.79813,-2.15566,
154.81793,-2.15683,
154.83774,-2.15807,
154.85754,-2.15933,
154.87735,-2.16057,
154.89715,-2.16177,
154.91696,-2.16289,
154.93676,-2.16389,
154.95656,-2.16474,
154.97637,-2.16545,
154.99617,-2.16604,
155.01598,-2.16654,
155.03578,-2.16696,
155.05559,-2.16734,
155.07539,-2.16769,
155.0952,-2.16804,
155.115,-2.16841,
155.1348,-2.16883,
155.15461,-2.16932,
155.17441,-2.16986,
155.19422,-2.17047,
155.21402,-2.17112,
155.23383,-2.17181,
155.25363,-2.17254,
155.27343,-2.17329,
155.29324,-2.17405,
155.31304,-2.17483,
155.33285,-2.17561,
155.35265,-2.17638,
155.37246,-2.17716,
155.39226,-2.17792,
155.41207,-2.17868,
155.43187,-2.17944,
155.45167,-2.18017,
155.47148,-2.1809,
155.49128,-2.18161,
155.51109,-2.1823,
155.53089,-2.18297,
155.5507,-2.18364,
155.5705,-2.18429,
155.59031,-2.18495,
155.61011,-2.1856,
155.62991,-2.18625,
155.64972,-2.18692,
155.66952,-2.18759,
155.68933,-2.18828,
155.70913,-2.18899,
155.72894,-2.18971,
155.74874,-2.19043,
155.76854,-2.19117,
155.78835,-2.19192,
155.80815,-2.19266,
155.82796,-2.19341,
155.84776,-2.19416,
155.86757,-2.1949,
155.88737,-2.19564,
155.90718,-2.19636,
155.92698,-2.19708,
155.94678,-2.19778,
