##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,6 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,6
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.8600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
#Mean,960.0,,3.455,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
145,980.0,Standard + p.c.(l),3.486,0.3,250.0,0.60,294.3,7.395,2078362.5,2.092
146,980.0,Standard + p.c.(l),3.460,0.3,250.0,0.60,295.0,7.38,2078362.5,1.918
147,980.0,Standard + p.c.(l),3.458,0.3,250.0,0.60,294.1,7.33,2078362.5,1.903
#Mean,980.0,,3.468,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
148,1000.0,Standard + p.c.(l),3.581,0.3,250.0,0.60,288.0,7.396,2078362.5,1.907
149,1000.0,Standard + p.c.(l),3.532,0.2,250.0,0.60,291.0,7.615,2078362.5,2.083
150,1000.0,Standard + p.c.(l),3.510,0.3,250.0,0.60,292.6,7.551,2078362.5,1.907
#Mean,1000.0,,3.541,,,,,,,
#Std_Dev,0.0,,0.036,,,,,,,
151,1020.0,Standard + p.c.(l),3.554,0.3,250.0,0.60,287.7,7.639,2078362.5,1.936
152,1020.0,Standard + p.c.(l),3.531,0.3,250.0,0.60,289.1,7.547,2078362.5,1.891
153,1020.0,Standard + p.c.(l),3.526,0.3,250.0,0.60,289.0,7.711,2078362.5,1.914
#Mean,1020.0,,3.537,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
154,1040.0,Standard + p.c.(l),3.605,0.3,250.0,0.60,284.0,7.894,2078362.5,1.901
155,1040.0,Standard + p.c.(l),3.580,0.3,250.0,0.60,284.8,7.821,2078362.5,1.93
156,1040.0,Standard + p.c.(l),3.559,0.3,250.0,0.60,285.8,7.814,2078362.5,1.905
#Mean,1040.0,,3.582,,,,,,,
#Std_Dev,0.0,,0.023,,,,,,,
157,1060.0,Standard + p.c.(l),3.656,0.3,250.0,0.60,279.6,7.965,2078362.5,1.928
158,1060.0,Standard + p.c.(l),3.644,0.3,250.0,0.60,279.6,7.936,2078362.5,2.093
159,1060.0,Standard + p.c.(l),3.593,0.3,250.0,0.60,281.3,7.924,2078362.5,2.101
#Mean,1060.0,,3.631,,,,,,,
#Std_Dev,0.0,,0.033,,,,,,,
160,1080.0,Standard + p.c.(l),3.693,0.3,250.0,0.60,276.2,8.238,2078362.5,1.901
161,1080.0,Standard + p.c.(l),3.707,0.3,250.0,0.60,275.5,8.081,2078362.5,2.132
162,1080.0,Standard + p.c.(l),3.682,0.2,250.0,0.60,277.5,8.002,2078362.5,2.127
#Mean,1080.0,,3.694,,,,,,,
#Std_Dev,0.0,,0.013,,,,,,,
163,1100.0,Standard + p.c.(l),3.787,0.4,250.0,0.60,269.6,8.312,2078362.5,2.122
164,1100.0,Standard + p.c.(l),3.691,0.4,250.0,0.60,272.8,8.279,2078362.5,1.906
165,1100.0,Standard + p.c.(l),3.715,0.3,250.0,0.60,274.7,8.364,2078362.5,1.924
#Mean,1100.0,,3.731,,,,,,,
#Std_Dev,0.0,,0.050,,,,,,,
166,1120.0,Standard + p.c.(l),3.811,0.4,250.0,0.60,267.7,8.436,2078362.5,1.909
167,1120.0,Standard + p.c.(l),3.728,0.4,250.0,0.60,270.4,8.456,2078362.5,1.907
168,1120.0,Standard + p.c.(l),3.748,0.2,250.0,0.60,269.7,8.44,2078362.5,2.114
#Mean,1120.0,,3.762,,,,,,,
#Std_Dev,0.0,,0.043,,,,,,,
169,1140.0,Standard + p.c.(l),3.826,0.4,250.0,0.60,264.1,8.555,2078362.5,1.908
170,1140.0,Standard + p.c.(l),3.851,0.3,250.0,0.60,264.7,8.435,2078362.5,1.923
171,1140.0,Standard + p.c.(l),3.831,0.3,250.0,0.60,265.4,8.502,2078362.5,1.918
#Mean,1140.0,,3.836,,,,,,,
#Std_Dev,0.0,,0.013,,,,,,,
172,1160.0,Standard + p.c.(l),3.911,0.4,250.0,0.60,259.1,8.613,2078362.5,2.073
173,1160.0,Standard + p.c.(l),3.865,0.3,250.0,0.60,261.8,7.376,1783610.5,2.112
174,1160.0,Standard + p.c.(l),3.892,0.3,250.0,0.60,260.0,7.328,1783610.5,1.915
#Mean,1160.0,,3.889,,,,,,,
#Std_Dev,0.0,,0.023,,,,,,,
175,1180.0,Standard + p.c.(l),3.981,0.4,250.0,0.60,255.6,7.376,1783610.5,2.114
176,1180.0,Standard + p.c.(l),3.935,0.3,250.0,0.60,257.2,7.405,1783610.5,1.932
177,1180.0,Standard + p.c.(l),3.970,0.3,250.0,0.60,254.6,7.471,1783610.5,1.912
#Mean,1180.0,,3.962,,,,,,,
#Std_Dev,0.0,,0.024,,,,,,,

