##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,03 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,03
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.5900
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
71,480.0,Standard + p.c.(l),5.813,1.2,250.0,0.60,59.3,7.054,3305010.4,1.915
72,480.0,Standard + p.c.(l),5.783,1.2,250.0,0.60,59.7,5.918,2816103.5,1.886
#Mean,480.0,,5.795,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
73,500.0,Standard + p.c.(l),5.925,1.3,250.0,0.60,58.6,6.548,2823926.0,2.036
74,500.0,Standard + p.c.(l),5.921,1.3,250.0,0.60,58.7,6.423,2823926.0,2.013
75,500.0,Standard + p.c.(l),5.904,1.3,250.0,0.60,58.9,6.52,2823926.0,2.073
#Mean,500.0,,5.916,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
76,520.0,Standard + p.c.(l),5.957,1.3,250.0,0.60,58.3,6.797,2823926.0,2.048
77,520.0,Standard + p.c.(l),5.965,1.3,250.0,0.60,58.2,6.861,2823926.0,1.9
78,520.0,Standard + p.c.(l),5.962,1.2,250.0,0.60,58.0,6.152,2450714.1,2.07
#Mean,520.0,,5.961,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
79,540.0,Standard + p.c.(l),5.998,1.2,250.0,0.60,57.6,6.586,2450714.1,2.07
80,540.0,Standard + p.c.(l),6.001,1.2,250.0,0.60,57.6,6.362,2450714.1,1.91
81,540.0,Standard + p.c.(l),5.988,1.2,250.0,0.60,57.8,6.588,2450714.1,1.895
#Mean,540.0,,5.996,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
82,560.0,Standard + p.c.(l),6.145,1.3,250.0,0.60,56.6,6.862,2450714.1,2.071
83,560.0,Standard + p.c.(l),6.121,1.3,250.0,0.60,57.0,5.762,2103942.1,1.916
84,560.0,Standard + p.c.(l),6.131,1.3,250.0,0.60,56.8,5.809,2103942.1,1.874
#Mean,560.0,,6.132,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
85,580.0,Standard + p.c.(l),6.166,1.3,250.0,0.60,56.4,6.281,2103942.1,2.077
86,580.0,Standard + p.c.(l),6.163,1.3,250.0,0.60,56.4,5.965,2103942.1,1.901
87,580.0,Standard + p.c.(l),6.168,1.3,250.0,0.60,56.4,6.222,2103942.1,2.048
#Mean,580.0,,6.166,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
88,600.0,Standard + p.c.(l),6.248,1.2,250.0,0.60,55.4,6.458,2103942.1,2.061
89,600.0,Standard + p.c.(l),6.233,1.3,250.0,0.60,55.7,6.489,2103942.1,2.04
90,600.0,Standard + p.c.(l),6.222,1.3,250.0,0.60,55.8,6.606,2103942.1,2.074
#Mean,600.0,,6.235,,,,,,,
#Std_Dev,0.0,,0.013,,,,,,,
91,620.0,Standard + p.c.(l),6.300,1.2,250.0,0.60,54.9,6.961,2103942.1,2.066
92,620.0,Standard + p.c.(l),6.304,1.2,250.0,0.60,54.9,5.952,1807312.6,2.085
93,620.0,Standard + p.c.(l),6.302,1.2,250.0,0.60,54.8,6.025,1807312.6,2.057
#Mean,620.0,,6.302,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
94,640.0,Standard + p.c.(l),6.365,1.2,250.0,0.60,54.2,6.176,1807312.6,2.063
95,640.0,Standard + p.c.(l),6.346,1.2,250.0,0.60,54.5,6.361,1807312.6,2.069
96,640.0,Standard + p.c.(l),6.367,1.2,250.0,0.60,54.2,6.228,1807312.6,2.057
#Mean,640.0,,6.360,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
97,660.0,Standard + p.c.(l),6.452,1.2,250.0,0.60,53.4,6.685,1807312.6,2.076
98,660.0,Standard + p.c.(l),6.406,1.2,250.0,0.60,53.9,6.442,1807312.6,1.902
99,660.0,Standard + p.c.(l),6.438,1.2,250.0,0.60,53.5,6.503,1807312.6,2.064
#Mean,660.0,,6.432,,,,,,,
#Std_Dev,0.0,,0.023,,,,,,,
100,680.0,Standard + p.c.(l),6.464,1.2,250.0,0.60,53.3,6.933,1807312.6,2.065
101,680.0,Standard + p.c.(l),6.462,1.2,250.0,0.60,53.5,6.885,1807312.6,2.017
102,680.0,Standard + p.c.(l),6.452,1.2,250.0,0.60,53.5,6.833,1807312.6,2.066
#Mean,680.0,,6.459,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
103,700.0,Standard + p.c.(l),6.499,1.1,250.0,0.60,53.0,7.233,1807312.6,2.083
104,700.0,Standard + p.c.(l),6.518,1.1,250.0,0.60,52.7,6.086,1511387.1,2.017
105,700.0,Standard + p.c.(l),6.572,1.1,250.0,0.60,52.6,5.958,1511387.1,2.003
#Mean,700.0,,6.530,,,,,,,
#Std_Dev,0.0,,0.038,,,,,,,
106,720.0,Standard + p.c.(l),6.587,1.1,250.0,0.60,52.5,6.236,1511387.1,2.061
107,720.0,Standard + p.c.(l),6.576,1.1,250.0,0.60,52.7,6.099,1511387.1,1.907
108,720.0,Standard + p.c.(l),6.591,1.1,250.0,0.60,52.4,6.144,1511387.1,2.059
#Mean,720.0,,6.585,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
109,740.0,Standard + p.c.(l),6.590,1.1,250.0,0.60,52.6,6.421,1511387.1,2.029
110,740.0,Standard + p.c.(l),6.589,1.1,250.0,0.60,52.5,6.336,1511387.1,1.92
111,740.0,Standard + p.c.(l),6.598,1.1,250.0,0.60,52.4,6.338,1511387.1,1.892
#Mean,740.0,,6.592,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
112,760.0,Standard + p.c.(l),6.605,1.1,250.0,0.60,52.4,6.811,1511387.1,2.029
113,760.0,Standard + p.c.(l),6.623,1.1,250.0,0.60,52.3,6.754,1511387.1,2.047
114,760.0,Standard + p.c.(l),6.636,1.1,250.0,0.60,52.0,6.833,1511387.1,2.08
#Mean,760.0,,6.621,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
115,780.0,Standard + p.c.(l),6.611,1.1,250.0,0.60,52.2,6.849,1511387.1,1.914
116,780.0,Standard + p.c.(l),6.624,1.1,250.0,0.60,52.1,6.835,1511387.1,1.884
117,780.0,Standard + p.c.(l),6.610,1.1,250.0,0.60,52.3,6.79,1511387.1,1.862
#Mean,780.0,,6.615,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
118,800.0,Standard + p.c.(l),6.633,1.0,250.0,0.60,52.0,7.337,1511387.1,2.073
119,800.0,Standard + p.c.(l),6.618,1.1,250.0,0.60,52.2,6.016,1261692.6,1.915
120,800.0,Standard + p.c.(l),6.621,1.0,250.0,0.60,52.2,6.048,1261692.6,1.915
#Mean,800.0,,6.624,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
