##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P3 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P3
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.0500
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
98,660.0,Standard + p.c.(l),2.510,0.6,250.0,0.60,467.7,7.348,5086586.9,1.889
99,660.0,Standard + p.c.(l),2.526,0.7,250.0,0.60,464.8,7.549,5086586.9,2.057
#Mean,660.0,,2.526,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
100,680.0,Standard + p.c.(l),2.690,0.7,250.0,0.60,438.4,8.124,5086586.9,2.069
101,680.0,Standard + p.c.(l),2.593,0.6,250.0,0.60,447.0,8.02,5086586.9,2.051
102,680.0,Standard + p.c.(l),2.600,0.6,250.0,0.60,449.1,7.868,5086586.9,1.884
#Mean,680.0,,2.628,,,,,,,
#Std_Dev,0.0,,0.054,,,,,,,
103,700.0,Standard + p.c.(l),2.772,0.6,250.0,0.60,423.6,8.225,5086586.9,1.91
104,700.0,Standard + p.c.(l),2.713,0.6,250.0,0.60,428.5,8.397,5086586.9,2.092
105,700.0,Standard + p.c.(l),2.736,0.6,250.0,0.60,425.6,7.177,4393825.7,2.041
#Mean,700.0,,2.740,,,,,,,
#Std_Dev,0.0,,0.030,,,,,,,
106,720.0,Standard + p.c.(l),2.924,0.7,250.0,0.60,403.0,7.524,4393825.7,2.021
107,720.0,Standard + p.c.(l),2.858,0.6,250.0,0.60,408.9,7.449,4393825.7,2.068
108,720.0,Standard + p.c.(l),2.883,0.6,250.0,0.60,408.1,7.486,4393825.7,2.046
#Mean,720.0,,2.888,,,,,,,
#Std_Dev,0.0,,0.034,,,,,,,
109,740.0,Standard + p.c.(l),3.081,0.8,250.0,0.60,382.5,7.831,4393825.7,1.897
110,740.0,Standard + p.c.(l),2.983,0.5,250.0,0.60,394.2,7.929,4393825.7,2.056
111,740.0,Standard + p.c.(l),2.974,0.6,250.0,0.60,394.4,7.653,4393825.7,1.867
#Mean,740.0,,3.013,,,,,,,
#Std_Dev,0.0,,0.060,,,,,,,
112,760.0,Standard + p.c.(l),3.094,0.7,250.0,0.60,378.1,8.302,4393825.7,2.08
113,760.0,Standard + p.c.(l),3.101,0.6,250.0,0.60,381.0,7.977,4393825.7,1.908
114,760.0,Standard + p.c.(l),3.040,0.6,250.0,0.60,381.6,8.284,4393825.7,2.054
#Mean,760.0,,3.078,,,,,,,
#Std_Dev,0.0,,0.033,,,,,,,
115,779.9,Standard + p.c.(l),3.198,0.7,250.0,0.60,367.5,8.648,4393825.7,2.064
116,780.0,Standard + p.c.(l),3.169,0.6,250.0,0.60,368.5,7.128,3649670.2,2.057
117,780.0,Standard + p.c.(l),3.100,0.6,250.0,0.60,375.3,7.203,3649670.2,2.052
#Mean,780.0,,3.156,,,,,,,
#Std_Dev,0.1,,0.050,,,,,,,
118,800.0,Standard + p.c.(l),3.301,0.7,250.0,0.60,355.5,7.842,3649670.2,1.933
119,800.0,Standard + p.c.(l),3.253,0.6,250.0,0.60,360.6,7.402,3649670.2,1.879
120,800.0,Standard + p.c.(l),3.277,0.6,250.0,0.60,360.4,7.504,3649670.2,2.065
#Mean,800.0,,3.277,,,,,,,
#Std_Dev,0.0,,0.024,,,,,,,
121,820.0,Standard + p.c.(l),3.398,0.9,250.0,0.60,347.6,8.119,3649670.2,2.053
122,820.0,Standard + p.c.(l),3.333,0.8,250.0,0.60,353.8,8.007,3649670.2,2.052
123,820.0,Standard + p.c.(l),3.332,0.6,250.0,0.60,349.8,8.086,3649670.2,2.062
#Mean,820.0,,3.354,,,,,,,
#Std_Dev,0.0,,0.038,,,,,,,
124,840.0,Standard + p.c.(l),3.427,0.7,250.0,0.60,342.2,8.576,3649670.2,1.911
125,840.0,Standard + p.c.(l),3.375,0.7,250.0,0.60,345.9,6.894,3066736.8,1.902
126,840.0,Standard + p.c.(l),3.380,0.6,250.0,0.60,346.7,7.234,3066736.8,2.108
#Mean,840.0,,3.394,,,,,,,
#Std_Dev,0.0,,0.029,,,,,,,
127,860.0,Standard + p.c.(l),3.538,0.8,250.0,0.60,332.2,7.561,3066736.8,1.888
128,860.0,Standard + p.c.(l),3.450,0.7,250.0,0.60,341.9,7.53,3066736.8,2.071
129,860.0,Standard + p.c.(l),3.385,0.7,250.0,0.60,346.0,7.515,3066736.8,2.068
#Mean,860.0,,3.457,,,,,,,
#Std_Dev,0.0,,0.077,,,,,,,
130,880.0,Standard + p.c.(l),3.520,0.8,250.0,0.60,330.7,8.039,3066736.8,2.033
131,880.0,Standard + p.c.(l),3.438,0.7,250.0,0.60,334.4,7.783,3066736.8,1.896
132,880.0,Standard + p.c.(l),3.397,0.6,250.0,0.60,340.8,7.915,3066736.8,2.089
#Mean,880.0,,3.452,,,,,,,
#Std_Dev,0.0,,0.062,,,,,,,
133,900.0,Standard + p.c.(l),3.547,0.8,250.0,0.60,327.9,8.448,3066736.8,1.873
134,900.0,Standard + p.c.(l),3.456,0.6,250.0,0.60,333.1,7.244,2648388.9,2.08
135,900.0,Standard + p.c.(l),3.440,0.6,250.0,0.60,336.7,7.055,2648388.9,1.888
#Mean,900.0,,3.481,,,,,,,
#Std_Dev,0.0,,0.057,,,,,,,
136,920.0,Standard + p.c.(l),3.613,0.8,250.0,0.60,323.7,7.517,2648388.9,1.892
137,920.0,Standard + p.c.(l),3.518,0.6,250.0,0.60,330.2,7.456,2648388.9,2.085
138,920.0,Standard + p.c.(l),3.491,0.5,250.0,0.60,333.4,7.349,2648388.9,1.886
#Mean,920.0,,3.541,,,,,,,
#Std_Dev,0.0,,0.064,,,,,,,
139,940.0,Standard + p.c.(l),3.629,0.9,250.0,0.60,320.5,7.754,2648388.9,1.879
140,940.0,Standard + p.c.(l),3.515,0.6,250.0,0.60,328.9,7.768,2648388.9,2.077
141,940.0,Standard + p.c.(l),3.479,0.6,250.0,0.60,331.9,7.739,2648388.9,2.048
#Mean,940.0,,3.541,,,,,,,
#Std_Dev,0.0,,0.078,,,,,,,
142,960.0,Standard + p.c.(l),3.602,0.7,250.0,0.60,325.8,8.091,2648388.9,1.893
143,960.0,Standard + p.c.(l),3.519,0.5,250.0,0.60,329.1,8.096,2648388.9,2.077
144,960.0,Standard + p.c.(l),3.486,0.6,250.0,0.60,330.0,7.975,2648388.9,1.874
#Mean,960.0,,3.536,,,,,,,
#Std_Dev,0.0,,0.060,,,,,,,
145,980.0,Standard + p.c.(l),3.571,0.7,250.0,0.60,324.6,8.289,2648388.9,1.874
146,980.0,Standard + p.c.(l),3.537,0.6,250.0,0.60,326.2,8.373,2648388.9,2.04
147,980.0,Standard + p.c.(l),3.521,0.7,250.0,0.60,327.9,8.368,2648388.9,1.891
#Mean,980.0,,3.543,,,,,,,
#Std_Dev,0.0,,0.026,,,,,,,
148,1000.0,Standard + p.c.(l),3.602,0.7,250.0,0.60,325.3,8.53,2648388.9,1.885
149,1000.0,Standard + p.c.(l),3.592,0.6,250.0,0.60,322.5,7.333,2260705.3,1.875
150,1000.0,Standard + p.c.(l),3.532,0.5,250.0,0.60,324.7,7.405,2260705.3,2.061
#Mean,1000.0,,3.575,,,,,,,
#Std_Dev,0.0,,0.037,,,,,,,
151,1020.0,Standard + p.c.(l),3.643,0.6,250.0,0.60,318.6,7.658,2260705.3,2.022
152,1020.0,Standard + p.c.(l),3.528,0.5,250.0,0.60,325.3,7.675,2260705.3,2.065
153,1020.0,Standard + p.c.(l),3.537,0.5,250.0,0.60,323.2,7.45,2260705.3,2.012
#Mean,1020.0,,3.569,,,,,,,
#Std_Dev,0.0,,0.064,,,,,,,
154,1040.0,Standard + p.c.(l),3.611,0.6,250.0,0.60,318.4,7.865,2260705.3,2.047
155,1040.0,Standard + p.c.(l),3.585,0.6,250.0,0.60,318.6,7.807,2260705.3,2.066
156,1040.0,Standard + p.c.(l),3.548,0.5,250.0,0.60,322.3,7.795,2260705.3,1.884
#Mean,1040.0,,3.581,,,,,,,
#Std_Dev,0.0,,0.032,,,,,,,
157,1060.0,Standard + p.c.(l),3.528,0.6,250.0,0.60,321.9,8.237,2260705.3,2.038
158,1060.0,Standard + p.c.(l),3.559,0.5,250.0,0.60,319.3,8.222,2260705.3,2.061
159,1060.0,Standard + p.c.(l),3.551,0.5,250.0,0.60,321.9,8.213,2260705.3,1.882
#Mean,1060.0,,3.546,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
160,1080.0,Standard + p.c.(l),3.487,0.6,250.0,0.60,324.8,8.536,2260705.3,2.077
161,1080.0,Standard + p.c.(l),3.556,0.6,250.0,0.60,318.5,8.458,2260705.3,2.07
162,1080.0,Standard + p.c.(l),3.576,0.5,250.0,0.60,319.6,8.453,2260705.3,2.052
#Mean,1080.0,,3.540,,,,,,,
#Std_Dev,0.0,,0.047,,,,,,,
163,1100.0,Standard + p.c.(l),3.545,0.4,250.0,0.60,318.7,8.726,2260705.3,1.916
164,1100.0,Standard + p.c.(l),3.587,0.4,250.0,0.60,316.4,8.804,2260705.3,1.876
165,1100.0,Standard + p.c.(l),3.570,0.5,250.0,0.60,315.7,8.744,2260705.3,1.879
#Mean,1100.0,,3.567,,,,,,,
#Std_Dev,0.0,,0.021,,,,,,,
166,1120.0,Standard + p.c.(l),3.550,0.3,250.0,0.60,319.1,9.004,2260705.3,2.056
167,1120.0,Standard + p.c.(l),3.537,0.4,250.0,0.60,317.4,7.752,1952811.3,2.062
168,1120.0,Standard + p.c.(l),3.638,0.5,250.0,0.60,313.1,7.718,1952811.3,2.055
#Mean,1120.0,,3.575,,,,,,,
#Std_Dev,0.0,,0.055,,,,,,,
169,1140.0,Standard + p.c.(l),3.441,0.4,250.0,0.60,318.4,8.04,1952811.3,1.858
170,1140.0,Standard + p.c.(l),3.624,0.5,250.0,0.60,309.9,8.013,1952811.3,2.078
171,1140.0,Standard + p.c.(l),3.526,0.5,250.0,0.60,317.4,7.932,1952811.3,2.057
#Mean,1140.0,,3.530,,,,,,,
#Std_Dev,0.0,,0.092,,,,,,,
172,1160.0,Standard + p.c.(l),3.540,0.5,250.0,0.60,311.5,8.091,1952811.3,1.887
173,1160.0,Standard + p.c.(l),3.590,0.4,250.0,0.60,310.7,8.226,1952811.3,1.887
174,1160.0,Standard + p.c.(l),3.625,0.5,250.0,0.60,309.1,8.072,1952811.3,2.072
#Mean,1160.0,,3.585,,,,,,,
#Std_Dev,0.0,,0.042,,,,,,,
175,1180.0,Standard + p.c.(l),3.548,0.4,250.0,0.60,311.5,8.054,1952811.3,2.068
176,1180.0,Standard + p.c.(l),3.654,0.5,250.0,0.60,305.4,8.273,1952811.3,1.879
177,1180.0,Standard + p.c.(l),3.646,0.5,250.0,0.60,305.4,8.28,1952811.3,1.909
#Mean,1180.0,,3.616,,,,,,,
#Std_Dev,0.0,,0.059,,,,,,,

