##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,3 - C
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,3
#Type,#Single_layer
#Sample position,C
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.0100
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
97,660.0,Standard + p.c.(l),3.302,0.1,250.0,0.60,351.4,7.938,4393825.7,1.902
98,660.0,Standard + p.c.(l),3.283,0.1,250.0,0.60,352.4,7.982,4393825.7,1.903
99,660.0,Standard + p.c.(l),3.297,0.1,250.0,0.60,352.2,7.973,4393825.7,2.112
#Mean,660.0,,3.294,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
100,680.0,Standard + p.c.(l),3.292,0.4,250.0,0.60,353.2,8.272,4393825.7,1.911
101,680.0,Standard + p.c.(l),3.285,0.2,250.0,0.60,352.8,6.993,3717569.6,1.931
102,680.0,Standard + p.c.(l),3.287,0.2,250.0,0.60,353.7,6.951,3717569.6,1.908
#Mean,680.0,,3.288,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
103,700.0,Standard + p.c.(l),3.266,0.1,250.0,0.60,349.5,7.374,3717569.6,1.901
104,700.0,Standard + p.c.(l),3.274,0.2,250.0,0.60,352.1,7.418,3717569.6,1.921
105,700.0,Standard + p.c.(l),3.299,0.2,250.0,0.60,350.0,7.393,3717569.6,1.905
#Mean,700.0,,3.280,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
106,720.0,Standard + p.c.(l),3.274,0.2,250.0,0.60,351.0,7.534,3717569.6,1.889
107,720.0,Standard + p.c.(l),3.291,0.1,250.0,0.60,351.6,7.478,3717569.6,1.908
108,720.0,Standard + p.c.(l),3.267,0.2,250.0,0.60,352.3,7.499,3717569.6,1.905
#Mean,720.0,,3.278,,,,,,,
#Std_Dev,0.0,,0.013,,,,,,,
109,740.0,Standard + p.c.(l),3.295,0.2,250.0,0.60,350.6,7.81,3717569.6,2.057
110,740.0,Standard + p.c.(l),3.289,0.1,250.0,0.60,350.4,7.479,3717569.6,1.914
111,740.0,Standard + p.c.(l),3.304,0.2,250.0,0.60,350.2,7.589,3717569.6,1.927
#Mean,740.0,,3.296,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
112,760.0,Standard + p.c.(l),3.315,0.1,250.0,0.60,348.5,7.876,3717569.6,1.938
113,760.0,Standard + p.c.(l),3.307,0.1,250.0,0.60,348.8,7.742,3717569.6,1.951
114,760.0,Standard + p.c.(l),3.309,0.1,250.0,0.60,348.6,7.833,3717569.6,2.077
#Mean,760.0,,3.310,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
115,780.0,Standard + p.c.(l),3.312,0.2,250.0,0.60,347.7,7.98,3717569.6,1.942
116,780.0,Standard + p.c.(l),3.357,0.2,250.0,0.60,345.6,8.061,3717569.6,1.914
117,780.0,Standard + p.c.(l),3.358,0.3,250.0,0.60,342.9,8.144,3717569.6,1.921
#Mean,780.0,,3.343,,,,,,,
#Std_Dev,0.0,,0.026,,,,,,,
118,800.0,Standard + p.c.(l),3.328,0.2,250.0,0.60,345.5,8.445,3717569.6,1.948
119,800.0,Standard + p.c.(l),3.372,0.3,250.0,0.60,343.1,7.013,3160372.1,2.081
120,800.0,Standard + p.c.(l),3.358,0.3,250.0,0.60,344.5,7.131,3160372.1,2.07
#Mean,800.0,,3.353,,,,,,,
#Std_Dev,0.0,,0.022,,,,,,,
121,820.0,Standard + p.c.(l),3.334,0.2,250.0,0.60,343.3,7.313,3160372.1,2.084
122,820.0,Standard + p.c.(l),3.345,0.1,250.0,0.60,346.1,7.161,3160372.1,2.107
123,820.0,Standard + p.c.(l),3.312,0.3,250.0,0.60,346.6,7.213,3160372.1,1.95
#Mean,820.0,,3.330,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
124,840.0,Standard + p.c.(l),3.372,0.3,250.0,0.60,344.5,7.547,3160372.1,2.108
125,840.0,Standard + p.c.(l),3.349,0.2,250.0,0.60,342.2,7.35,3160372.1,2.11
126,840.0,Standard + p.c.(l),3.337,0.2,250.0,0.60,344.5,7.412,3160372.1,2.12
#Mean,840.0,,3.353,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
127,860.0,Standard + p.c.(l),3.312,0.2,250.0,0.60,345.2,7.681,3160372.1,2.081
128,860.0,Standard + p.c.(l),3.293,0.2,250.0,0.60,347.8,7.504,3160372.1,1.926
129,860.0,Standard + p.c.(l),3.353,0.2,250.0,0.60,345.1,7.594,3160372.1,2.073
#Mean,860.0,,3.319,,,,,,,
#Std_Dev,0.0,,0.031,,,,,,,
130,880.0,Standard + p.c.(l),3.327,0.2,250.0,0.60,344.4,7.787,3160372.1,2.121
131,880.0,Standard + p.c.(l),3.410,0.3,250.0,0.60,340.6,7.685,3160372.1,1.944
132,880.0,Standard + p.c.(l),3.374,0.2,250.0,0.60,344.4,7.755,3160372.1,1.94
#Mean,880.0,,3.370,,,,,,,
#Std_Dev,0.0,,0.042,,,,,,,
133,900.0,Standard + p.c.(l),3.394,0.2,250.0,0.60,341.2,7.84,3160372.1,2.136
134,900.0,Standard + p.c.(l),3.421,0.3,250.0,0.60,338.2,7.822,3160372.1,2.105
135,900.0,Standard + p.c.(l),3.265,0.2,250.0,0.60,345.2,8.12,3160372.1,2.081
#Mean,900.0,,3.360,,,,,,,
#Std_Dev,0.0,,0.083,,,,,,,
136,920.0,Standard + p.c.(l),3.382,0.3,250.0,0.60,337.4,8.255,3160372.1,2.089
137,920.0,Standard + p.c.(l),3.316,0.4,250.0,0.60,341.4,8.4,3160372.1,1.923
138,920.0,Standard + p.c.(l),3.334,0.3,250.0,0.60,339.4,8.276,3160372.1,2.121
#Mean,920.0,,3.344,,,,,,,
#Std_Dev,0.0,,0.034,,,,,,,
139,940.0,Standard + p.c.(l),3.430,0.4,250.0,0.60,336.9,8.201,3160372.1,1.929
140,940.0,Standard + p.c.(l),3.399,0.2,250.0,0.60,338.2,8.262,3160372.1,1.919
141,940.0,Standard + p.c.(l),3.366,0.2,250.0,0.60,332.1,7.193,2735453.4,2.083
#Mean,940.0,,3.398,,,,,,,
#Std_Dev,0.0,,0.032,,,,,,,
142,960.0,Standard + p.c.(l),3.436,0.2,250.0,0.60,334.8,7.394,2735453.4,2.081
143,960.0,Standard + p.c.(l),3.423,0.3,250.0,0.60,325.0,7.606,2735453.4,2.081
144,960.0,Standard + p.c.(l),3.430,0.2,250.0,0.60,329.9,7.265,2735453.4,1.913
#Mean,960.0,,3.429,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
145,980.0,Standard + p.c.(l),3.452,0.2,250.0,0.60,329.7,7.758,2735453.4,2.127
146,980.0,Standard + p.c.(l),3.447,0.2,250.0,0.60,330.6,7.739,2735453.4,1.949
147,980.0,Standard + p.c.(l),3.455,0.2,250.0,0.60,325.1,7.694,2735453.4,1.921
#Mean,980.0,,3.452,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
148,1000.0,Standard + p.c.(l),3.532,0.5,250.0,0.60,325.6,8.013,2735453.4,2.135
149,1000.0,Standard + p.c.(l),3.494,0.5,250.0,0.60,324.0,7.595,2735453.4,1.947
150,1000.0,Standard + p.c.(l),3.669,0.6,250.0,0.60,320.8,7.835,2735453.4,2.101
#Mean,1000.0,,3.565,,,,,,,
#Std_Dev,0.0,,0.092,,,,,,,
151,1020.0,Standard + p.c.(l),3.566,0.2,250.0,0.60,319.8,7.982,2735453.4,1.929
152,1020.0,Standard + p.c.(l),3.600,0.2,250.0,0.60,314.8,8.034,2735453.4,2.11
153,1020.0,Standard + p.c.(l),3.623,0.3,250.0,0.60,317.5,7.756,2735453.4,1.929
#Mean,1020.0,,3.596,,,,,,,
#Std_Dev,0.0,,0.028,,,,,,,
154,1040.0,Standard + p.c.(l),3.691,0.3,250.0,0.60,310.0,8.404,2735453.4,1.903
