##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,01 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,01
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
114,760.0,Standard + p.c.(l),4.443,0.2,250.0,0.60,114.3,7.335,1928170.4,2.099
#Mean,760.0,,4.450,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
115,780.0,Standard + p.c.(l),4.472,0.2,250.0,0.60,113.7,7.702,1928170.4,2.051
116,780.0,Standard + p.c.(l),4.458,0.2,250.0,0.60,113.9,6.631,1667446.2,2.071
117,780.0,Standard + p.c.(l),4.457,0.2,250.0,0.60,113.9,6.493,1667446.2,2.066
#Mean,780.0,,4.462,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
118,800.0,Standard + p.c.(l),4.482,0.2,250.0,0.60,113.2,6.768,1667446.2,2.109
119,800.0,Standard + p.c.(l),4.477,0.2,250.0,0.60,113.5,6.839,1667446.2,2.078
120,800.0,Standard + p.c.(l),4.461,0.2,250.0,0.60,113.8,6.725,1667446.2,1.922
#Mean,800.0,,4.473,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
121,820.0,Standard + p.c.(l),4.494,0.2,250.0,0.60,112.9,7.053,1667446.2,2.108
122,820.0,Standard + p.c.(l),4.477,0.2,250.0,0.60,113.2,6.945,1667446.2,2.105
123,820.0,Standard + p.c.(l),4.468,0.2,250.0,0.60,113.4,7.041,1667446.2,2.055
#Mean,820.0,,4.480,,,,,,,
#Std_Dev,0.0,,0.013,,,,,,,
