##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,1 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,1
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9800
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
71,480.0,Standard + p.c.(l),38.341,0.8,250.0,0.60,31.3,6.482,5132348.6,1.922
72,480.0,Standard + p.c.(l),38.381,0.8,250.0,0.60,31.3,6.539,5132348.6,1.935
#Mean,480.0,,38.399,,,,,,,
#Std_Dev,0.0,,0.068,,,,,,,
73,500.0,Standard + p.c.(l),37.602,0.8,250.0,0.60,32.1,7.07,5086586.9,2.121
74,500.0,Standard + p.c.(l),37.269,0.9,250.0,0.60,32.2,6.101,4393825.7,1.924
75,500.0,Standard + p.c.(l),37.427,0.8,250.0,0.60,32.2,6.146,4393825.7,2.052
#Mean,500.0,,37.433,,,,,,,
#Std_Dev,0.0,,0.167,,,,,,,
76,520.0,Standard + p.c.(l),36.292,0.8,250.0,0.60,33.1,6.389,4393825.7,1.935
77,520.0,Standard + p.c.(l),36.350,0.8,250.0,0.60,33.1,6.481,4393825.7,1.911
78,520.0,Standard + p.c.(l),36.303,0.8,250.0,0.60,33.2,6.466,4393825.7,1.906
#Mean,520.0,,36.315,,,,,,,
#Std_Dev,0.0,,0.031,,,,,,,
79,540.0,Standard + p.c.(l),35.533,0.8,250.0,0.60,33.9,6.833,4393825.7,1.905
80,540.0,Standard + p.c.(l),35.654,0.7,250.0,0.60,33.7,6.995,4393825.7,2.115
81,540.0,Standard + p.c.(l),35.587,0.8,250.0,0.60,33.8,6.852,4393825.7,1.919
#Mean,540.0,,35.591,,,,,,,
#Std_Dev,0.0,,0.060,,,,,,,
82,560.0,Standard + p.c.(l),34.744,0.7,250.0,0.60,34.9,7.315,4393825.7,1.912
83,560.0,Standard + p.c.(l),34.850,0.8,250.0,0.60,34.6,6.147,3683541.5,2.107
84,560.0,Standard + p.c.(l),34.856,0.7,250.0,0.60,34.7,6.115,3683541.5,2.082
#Mean,560.0,,34.817,,,,,,,
#Std_Dev,0.0,,0.063,,,,,,,
85,580.0,Standard + p.c.(l),33.924,0.7,250.0,0.60,35.6,6.392,3683541.5,1.928
86,580.0,Standard + p.c.(l),34.043,0.7,250.0,0.60,35.5,6.463,3683541.5,2.105
87,580.0,Standard + p.c.(l),33.989,0.8,250.0,0.60,35.7,6.551,3683541.5,2.085
#Mean,580.0,,33.985,,,,,,,
#Std_Dev,0.0,,0.060,,,,,,,
88,600.0,Standard + p.c.(l),33.284,0.6,250.0,0.60,36.3,6.616,3683541.5,1.963
89,600.0,Standard + p.c.(l),33.288,0.8,250.0,0.60,36.3,6.671,3683541.5,1.902
90,600.0,Standard + p.c.(l),33.304,0.6,250.0,0.60,36.2,6.863,3683541.5,2.057
#Mean,600.0,,33.292,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
91,620.0,Standard + p.c.(l),32.465,0.7,250.0,0.60,37.3,7.082,3683541.5,1.9
92,620.0,Standard + p.c.(l),32.504,0.7,250.0,0.60,37.2,6.156,3191897.0,1.923
93,620.0,Standard + p.c.(l),32.511,0.7,250.0,0.60,37.2,6.132,3191897.0,1.91
#Mean,620.0,,32.493,,,,,,,
#Std_Dev,0.0,,0.025,,,,,,,
94,640.0,Standard + p.c.(l),31.895,0.7,250.0,0.60,38.0,6.442,3191897.0,2.082
95,640.0,Standard + p.c.(l),31.907,0.7,250.0,0.60,37.9,6.464,3191897.0,1.913
96,640.0,Standard + p.c.(l),31.928,0.7,250.0,0.60,37.9,6.485,3191897.0,1.925
#Mean,640.0,,31.910,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
97,660.0,Standard + p.c.(l),31.096,0.5,250.0,0.60,38.9,6.649,3191897.0,1.907
98,660.0,Standard + p.c.(l),31.285,0.7,250.0,0.60,38.8,6.595,3191897.0,1.927
99,660.0,Standard + p.c.(l),31.288,0.7,250.0,0.60,38.8,6.615,3191897.0,1.933
#Mean,660.0,,31.223,,,,,,,
#Std_Dev,0.0,,0.110,,,,,,,
100,680.0,Standard + p.c.(l),30.609,0.5,250.0,0.60,39.7,6.949,3191897.0,1.913
101,680.0,Standard + p.c.(l),30.647,0.7,250.0,0.60,39.7,6.979,3191897.0,1.908
102,680.0,Standard + p.c.(l),30.696,0.7,250.0,0.60,39.5,7.034,3191897.0,1.893
#Mean,680.0,,30.651,,,,,,,
#Std_Dev,0.0,,0.043,,,,,,,
103,700.0,Standard + p.c.(l),29.954,0.6,250.0,0.60,40.5,6.185,2764787.8,1.905
104,700.0,Standard + p.c.(l),30.056,0.9,250.0,0.60,40.4,6.294,2764787.8,1.939
105,700.0,Standard + p.c.(l),30.048,0.7,250.0,0.60,40.4,6.3,2764787.8,1.92
#Mean,700.0,,30.020,,,,,,,
#Std_Dev,0.0,,0.057,,,,,,,
106,720.0,Standard + p.c.(l),29.620,0.7,250.0,0.60,41.0,6.577,2764787.8,2.114
