##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,7 - B
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,7
#Type,#Single_layer
#Sample position,B
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
132,880.0,Standard + p.c.(l),3.092,0.2,250.0,0.60,353.9,7.902,2591128.2,1.902
#Mean,880.0,,3.103,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
133,900.0,Standard + p.c.(l),3.101,0.2,250.0,0.60,352.3,8.058,2591128.2,2.06
134,900.0,Standard + p.c.(l),3.118,0.2,250.0,0.60,352.1,7.856,2591128.2,1.917
135,900.0,Standard + p.c.(l),3.125,0.2,250.0,0.60,351.1,8.102,2591128.2,2.122
#Mean,900.0,,3.115,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
136,920.0,Standard + p.c.(l),3.100,0.2,250.0,0.60,352.1,8.108,2591128.2,2.084
137,920.0,Standard + p.c.(l),3.124,0.2,250.0,0.60,350.5,8.19,2591128.2,1.918
138,920.0,Standard + p.c.(l),3.117,0.2,250.0,0.60,349.1,8.271,2591128.2,1.937
#Mean,920.0,,3.113,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
139,940.0,Standard + p.c.(l),3.103,0.1,250.0,0.60,349.4,8.428,2591128.2,2.097
140,940.0,Standard + p.c.(l),3.101,0.2,250.0,0.60,348.2,8.401,2591128.2,1.914
141,940.0,Standard + p.c.(l),3.129,0.2,250.0,0.60,347.9,8.285,2591128.2,1.917
#Mean,940.0,,3.111,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
142,960.0,Standard + p.c.(l),3.125,0.1,250.0,0.60,347.7,8.584,2591128.2,2.111
143,960.0,Standard + p.c.(l),3.136,0.2,250.0,0.60,345.4,8.581,2591128.2,1.894
144,960.0,Standard + p.c.(l),3.164,0.1,250.0,0.60,344.4,8.563,2591128.2,1.9
#Mean,960.0,,3.142,,,,,,,
#Std_Dev,0.0,,0.020,,,,,,,
145,980.0,Standard + p.c.(l),3.128,0.1,250.0,0.60,344.9,8.918,2591128.2,2.066
146,980.0,Standard + p.c.(l),3.150,0.1,250.0,0.60,342.9,7.501,2234187.0,1.927
